# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -4847 3 43 175 2233688 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 3 43 175 2247239 5 /openedx/staticfiles/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4847 4 43 175 913651 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4847 3 43 175 2176266 5 /openedx/staticfiles/js/capa/genex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 3 43 175 2247281 5 /openedx/staticfiles/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4847 3 43 175 2248108 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4847 4 43 175 1188096 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 4 43 175 1136654 5 /openedx/staticfiles/studio/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 3 43 175 2176115 5 /openedx/staticfiles/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 4 43 175 2235562 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 4 43 175 913450 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 4 43 175 1184150 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4847 3 43 175 2181593 5 /openedx/staticfiles/js/capa/protex/clear.cache.gif
DUPTYPE_FIRST_OCCURRENCE 17189 8 43 175 2240883 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.12bf9e193749.gif
